iter	Passed	Remaining
0	3	38059
1	6	34337
2	14	48285
3	16	42464
4	19	39541
5	21	35936
6	23	34126
7	25	31820
8	27	30738
9	29	29391
10	31	28662
11	33	27803
12	36	27818
13	38	27265
14	40	26837
15	41	26117
16	44	26166
17	46	25683
18	48	25471
19	50	25409
20	53	25472
21	55	25397
22	58	25227
23	60	25306
24	62	25026
25	64	24584
26	66	24576
27	68	24244
28	70	24071
29	71	23704
30	73	23508
31	74	23178
32	76	23086
33	77	22794
34	79	22606
35	80	22394
36	82	22292
37	84	22141
38	86	22103
39	87	21885
40	89	21751
41	90	21558
42	92	21414
43	94	21300
44	96	21305
45	97	21136
46	99	21106
47	101	21015
48	103	20947
49	104	20814
50	106	20731
51	109	20867
52	111	20866
53	112	20788
54	115	20794
55	116	20720
56	118	20700
57	120	20634
58	122	20584
59	131	21715
60	139	22734
61	157	25170
62	176	27844
63	186	28961
64	189	28925
65	199	29996
66	202	30094
67	205	30078
68	209	30221
69	212	30095
70	215	30201
71	218	30127
72	221	30089
73	223	30041
74	226	29913
75	227	29720
76	229	29597
77	231	29450
78	233	29377
79	235	29181
80	237	29029
81	238	28854
82	240	28778
83	242	28622
84	244	28483
85	245	28341
86	248	28262
87	249	28115
88	251	28028
89	253	27918
90	255	27797
91	256	27669
92	258	27552
93	260	27415
94	261	27299
95	263	27180
96	265	27104
97	267	27019
98	269	26920
99	270	26794
100	272	26729
101	274	26618
102	276	26586
103	278	26473
104	280	26396
105	281	26315
106	283	26228
107	285	26120
108	286	26025
109	288	25935
110	290	25848
111	291	25737
112	293	25646
113	294	25540
114	296	25480
115	298	25438
116	300	25388
117	302	25294
118	303	25227
119	305	25115
120	306	25061
121	308	24996
122	310	24936
123	311	24842
124	313	24789
125	315	24723
126	317	24684
127	318	24599
128	321	24607
129	323	24544
130	325	24484
131	326	24442
132	328	24400
133	330	24328
134	332	24271
135	333	24200
136	335	24150
137	337	24102
138	339	24100
139	341	24029
140	343	23988
141	345	23986
142	347	23953
143	350	23961
144	352	23925
145	353	23877
146	356	23869
147	357	23810
148	360	23804
149	362	23789
150	364	23776
151	366	23726
152	368	23685
153	369	23623
154	371	23573
155	372	23515
156	374	23491
157	375	23369
158	377	23357
159	379	23316
160	381	23297
161	383	23276
162	385	23260
163	387	23232
164	389	23192
165	390	23144
166	392	23105
167	394	23078
168	396	23058
169	397	23013
170	400	22997
171	401	22966
172	405	23021
173	406	22969
174	408	22933
175	409	22879
176	412	22879
177	413	22839
178	415	22803
179	417	22756
180	419	22764
181	421	22714
182	422	22689
183	424	22636
184	426	22616
185	428	22602
186	430	22575
187	431	22524
188	433	22487
189	434	22442
190	436	22417
191	438	22409
192	440	22367
193	441	22320
194	443	22309
195	446	22315
196	449	22369
197	451	22342
198	453	22354
199	455	22320
200	457	22294
201	458	22251
202	461	22250
203	463	22261
204	465	22247
205	467	22220
206	470	22253
207	471	22219
208	473	22196
209	475	22159
210	477	22141
211	478	22108
212	480	22081
213	482	22061
214	483	21997
215	484	21964
216	486	21946
217	488	21910
218	490	21886
219	491	21859
220	494	21868
221	496	21850
222	498	21838
223	499	21805
224	501	21805
225	503	21779
226	505	21776
227	507	21750
228	509	21742
229	511	21738
230	513	21724
231	515	21695
232	517	21678
233	519	21663
234	520	21642
235	522	21611
236	523	21577
237	525	21547
238	527	21547
239	529	21523
240	531	21515
241	533	21507
242	535	21496
243	536	21465
